county,ward,office,district,total votes,party,candidate,votes
Dane,City Of Madison Ward 95,State Superintendent Of Public Instruction,,54,Non-Partisan,Tony Evers,26
Dane,City Of Madison Ward 96,State Superintendent Of Public Instruction,,197,Non-Partisan,Tony Evers,121
Dane,City Of Madison Ward 97,State Superintendent Of Public Instruction,,54,Non-Partisan,Tony Evers,25
Dane,City Of Madison Ward 98,State Superintendent Of Public Instruction,,81,Non-Partisan,Tony Evers,36
Dane,City Of Madison Ward 99,State Superintendent Of Public Instruction,,172,Non-Partisan,Tony Evers,84
Dane,City Of Madison Ward 100,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 101,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 102,State Superintendent Of Public Instruction,,20,Non-Partisan,Tony Evers,13
Dane,City Of Madison Ward 103,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 104,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 105,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 106,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 107,State Superintendent Of Public Instruction,,1,Non-Partisan,Tony Evers,1
Dane,City Of Madison Ward 108,State Superintendent Of Public Instruction,,2,Non-Partisan,Tony Evers,1
Dane,City Of Madison Ward 109,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 110,State Superintendent Of Public Instruction,,4,Non-Partisan,Tony Evers,2
Dane,City Of Madison Ward 111,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 112,State Superintendent Of Public Instruction,,6,Non-Partisan,Tony Evers,2
Dane,City Of Madison Ward 113,State Superintendent Of Public Instruction,,2,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 114,State Superintendent Of Public Instruction,,2,Non-Partisan,Tony Evers,2
Dane,City Of Madison Ward 115,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 116,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 117,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 118,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 119,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 120,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 121,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 122,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 123,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 124,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 125,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 126,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 127,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 128,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 129,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 130,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 131,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 132,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 133,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 134,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 135,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 136,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 137,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 138,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 139,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 140,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 141,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 142,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 143,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 144,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Madison Ward 145,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dane,City Of Middleton Wards 1 - 4 & 9,State Superintendent Of Public Instruction,,383,Non-Partisan,Tony Evers,200
Dane,"City Of Middleton Wards 5 - 8, 10 - 14",State Superintendent Of Public Instruction,,388,Non-Partisan,Tony Evers,235
Dane,City Of Monona Wards 1 - 5,State Superintendent Of Public Instruction,,304,Non-Partisan,Tony Evers,162
Dane,City Of Monona Wards 6 - 10,State Superintendent Of Public Instruction,,241,Non-Partisan,Tony Evers,104
Dane,City Of Stoughton Wards 1 - 3,State Superintendent Of Public Instruction,,141,Non-Partisan,Tony Evers,54
Dane,City Of Stoughton Wards 4 & 5,State Superintendent Of Public Instruction,,142,Non-Partisan,Tony Evers,55
Dane,City Of Stoughton Wards 6 - 8,State Superintendent Of Public Instruction,,100,Non-Partisan,Tony Evers,48
Dane,City Of Stoughton Wards 9 & 10,State Superintendent Of Public Instruction,,121,Non-Partisan,Tony Evers,52
Dane,"City Of Sun Prairie Wards 1 - 4, 18, 19, 22 & 25",State Superintendent Of Public Instruction,,283,Non-Partisan,Tony Evers,132
Dane,"City Of Sun Prairie Wards 5 - 9, 21, 23, 26 - 28",State Superintendent Of Public Instruction,,215,Non-Partisan,Tony Evers,80
Dane,"City Of Sun Prairie Wards 10 - 13, 20, 29, 30, 32 & 33",State Superintendent Of Public Instruction,,161,Non-Partisan,Tony Evers,76
Dane,"City Of Sun Prairie Wards 14 - 17, 24, 31 & 34",State Superintendent Of Public Instruction,,210,Non-Partisan,Tony Evers,98
Dane,City Of Verona Wards 1 - 4,State Superintendent Of Public Instruction,,221,Non-Partisan,Tony Evers,132
Dane,City Of Verona Wards 5 - 8,State Superintendent Of Public Instruction,,228,Non-Partisan,Tony Evers,149
Dodge,Town Of Ashippun Wards 1 - 3,State Superintendent Of Public Instruction,,398,Non-Partisan,Tony Evers,110
Dodge,Town Of Beaver Dam Wards 1 - 5,State Superintendent Of Public Instruction,,58,Non-Partisan,Tony Evers,19
Dodge,Town Of Burnett Wards 1 & 2,State Superintendent Of Public Instruction,,46,Non-Partisan,Tony Evers,11
Dodge,Town Of Calamus Wards 1 & 2,State Superintendent Of Public Instruction,,26,Non-Partisan,Tony Evers,5
Dodge,Town Of Chester Wards 1 & 2,State Superintendent Of Public Instruction,,155,Non-Partisan,Tony Evers,46
Dodge,Town Of Clyman Wards 1 & 2,State Superintendent Of Public Instruction,,39,Non-Partisan,Tony Evers,10
Dodge,Town Of Elba Wards 1 & 2,State Superintendent Of Public Instruction,,35,Non-Partisan,Tony Evers,11
Dodge,Town Of Emmet Wards 1 & 2,State Superintendent Of Public Instruction,,31,Non-Partisan,Tony Evers,3
Dodge,Town Of Fox Lake Wards 1 - 4,State Superintendent Of Public Instruction,,235,Non-Partisan,Tony Evers,83
Dodge,Town Of Herman Wards 1 & 2,State Superintendent Of Public Instruction,,41,Non-Partisan,Tony Evers,6
Dodge,Town Of Hubbard Wards 1 - 3,State Superintendent Of Public Instruction,,51,Non-Partisan,Tony Evers,11
Dodge,Town Of Hustisford Wards 1 - 3,State Superintendent Of Public Instruction,,41,Non-Partisan,Tony Evers,6
Dodge,Town Of Lebanon Wards 1 & 2,State Superintendent Of Public Instruction,,54,Non-Partisan,Tony Evers,8
Dodge,Town Of Leroy Wards 1 & 2,State Superintendent Of Public Instruction,,37,Non-Partisan,Tony Evers,14
Dodge,Town Of Lomira Wards 1 & 2,State Superintendent Of Public Instruction,,37,Non-Partisan,Tony Evers,13
Dodge,Town Of Lowell Wards 1 & 2,State Superintendent Of Public Instruction,,26,Non-Partisan,Tony Evers,3
Dodge,Town Of Oak Grove Wards 1 - 3,State Superintendent Of Public Instruction,,23,Non-Partisan,Tony Evers,4
Dodge,Town Of Portland Wards 1 & 2,State Superintendent Of Public Instruction,,34,Non-Partisan,Tony Evers,8
Dodge,Town Of Rubicon Wards 1 - 3,State Superintendent Of Public Instruction,,95,Non-Partisan,Tony Evers,11
Dodge,Town Of Shields,State Superintendent Of Public Instruction,,27,Non-Partisan,Tony Evers,4
Dodge,Town Of Theresa Wards 1 & 2,State Superintendent Of Public Instruction,,29,Non-Partisan,Tony Evers,8
Dodge,Town Of Trenton Wards 1 - 3,State Superintendent Of Public Instruction,,145,Non-Partisan,Tony Evers,47
Dodge,Town Of Westford Wards 1 & 2,State Superintendent Of Public Instruction,,32,Non-Partisan,Tony Evers,12
Dodge,Town Of Williamstown,State Superintendent Of Public Instruction,,22,Non-Partisan,Tony Evers,3
Dodge,Village Of Brownsville,State Superintendent Of Public Instruction,,17,Non-Partisan,Tony Evers,3
Dodge,Village Of Clyman,State Superintendent Of Public Instruction,,23,Non-Partisan,Tony Evers,10
Dodge,Village Of Hustisford Wards 1 & 2,State Superintendent Of Public Instruction,,59,Non-Partisan,Tony Evers,19
Dodge,Village Of Iron Ridge,State Superintendent Of Public Instruction,,20,Non-Partisan,Tony Evers,12
Dodge,Village Of Kekoskee,State Superintendent Of Public Instruction,,12,Non-Partisan,Tony Evers,2
Dodge,Village Of Lomira Wards 1 - 3,State Superintendent Of Public Instruction,,60,Non-Partisan,Tony Evers,23
Dodge,Village Of Lowell,State Superintendent Of Public Instruction,,23,Non-Partisan,Tony Evers,11
Dodge,Village Of Neosho,State Superintendent Of Public Instruction,,18,Non-Partisan,Tony Evers,5
Dodge,Village Of Randolph Wards 1 & 2,State Superintendent Of Public Instruction,,24,Non-Partisan,Tony Evers,11
Dodge,Village Of Reeseville,State Superintendent Of Public Instruction,,20,Non-Partisan,Tony Evers,6
Dodge,Village Of Theresa Wards 1 - 3,State Superintendent Of Public Instruction,,43,Non-Partisan,Tony Evers,10
Dodge,"City Of Beaver Dam Wards 1, 3 & 5",State Superintendent Of Public Instruction,,86,Non-Partisan,Tony Evers,49
Dodge,City Of Beaver Dam Wards 2 & 6,State Superintendent Of Public Instruction,,67,Non-Partisan,Tony Evers,29
Dodge,City Of Beaver Dam Wards 4 & 10,State Superintendent Of Public Instruction,,39,Non-Partisan,Tony Evers,19
Dodge,"City Of Beaver Dam Wards 7, 12 & 13",State Superintendent Of Public Instruction,,64,Non-Partisan,Tony Evers,30
Dodge,City Of Beaver Dam Wards 8 & 14,State Superintendent Of Public Instruction,,43,Non-Partisan,Tony Evers,21
Dodge,City Of Beaver Dam Wards 9 & 11,State Superintendent Of Public Instruction,,82,Non-Partisan,Tony Evers,38
Dodge,City Of Columbus Ward 9,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dodge,City Of Fox Lake Wards 1 - 3,State Superintendent Of Public Instruction,,242,Non-Partisan,Tony Evers,81
Dodge,City Of Hartford Wards 16 & 39,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Dodge,City Of Horicon Wards 1 - 6,State Superintendent Of Public Instruction,,78,Non-Partisan,Tony Evers,29
Dodge,City Of Juneau Wards 1 - 3,State Superintendent Of Public Instruction,,44,Non-Partisan,Tony Evers,24
Dodge,City Of Mayville Wards 1 - 7,State Superintendent Of Public Instruction,,122,Non-Partisan,Tony Evers,51
Dodge,City Of Watertown Wards 1 & 2,State Superintendent Of Public Instruction,,134,Non-Partisan,Tony Evers,38
Dodge,City Of Watertown Wards 3 & 4,State Superintendent Of Public Instruction,,86,Non-Partisan,Tony Evers,28
Dodge,City Of Watertown Wards 5 & 6,State Superintendent Of Public Instruction,,105,Non-Partisan,Tony Evers,31
Dodge,City Of Watertown Ward 7,State Superintendent Of Public Instruction,,46,Non-Partisan,Tony Evers,7
Dodge,City Of Waupun Wards 1 - 3 & 8,State Superintendent Of Public Instruction,,470,Non-Partisan,Tony Evers,155
Dodge,City Of Waupun Wards 4 - 7,State Superintendent Of Public Instruction,,437,Non-Partisan,Tony Evers,139
Door,Town Of Baileys Harbor Wards 1 & 2,State Superintendent Of Public Instruction,,58,Non-Partisan,Tony Evers,37
Door,Town Of Brussels Wards 1 & 2,State Superintendent Of Public Instruction,,15,Non-Partisan,Tony Evers,7
Door,Town Of Claybanks,State Superintendent Of Public Instruction,,30,Non-Partisan,Tony Evers,14
Door,Town Of Egg Harbor Wards 1 - 3,State Superintendent Of Public Instruction,,31,Non-Partisan,Tony Evers,18
Door,Town Of Forestville Wards 1 & 2,State Superintendent Of Public Instruction,,33,Non-Partisan,Tony Evers,11
Door,Town Of Gardner,State Superintendent Of Public Instruction,,35,Non-Partisan,Tony Evers,15
Door,Town Of Gibraltar Wards 1 & 2,State Superintendent Of Public Instruction,,74,Non-Partisan,Tony Evers,37
Door,Town Of Jacksonport,State Superintendent Of Public Instruction,,29,Non-Partisan,Tony Evers,12
Door,Town Of Liberty Grove Wards 1 - 3,State Superintendent Of Public Instruction,,409,Non-Partisan,Tony Evers,184
Door,Town Of Nasewaupee Wards 1 - 3,State Superintendent Of Public Instruction,,55,Non-Partisan,Tony Evers,25
Door,Town Of Sevastopol Wards 1 - 3,State Superintendent Of Public Instruction,,94,Non-Partisan,Tony Evers,49
Door,Town Of Sturgeon Bay Wards 1 & 2,State Superintendent Of Public Instruction,,26,Non-Partisan,Tony Evers,14
Door,Town Of Union,State Superintendent Of Public Instruction,,38,Non-Partisan,Tony Evers,12
Door,Town Of Washington,State Superintendent Of Public Instruction,,216,Non-Partisan,Tony Evers,98
Door,Village Of Egg Harbor,State Superintendent Of Public Instruction,,16,Non-Partisan,Tony Evers,10
Door,Village Of Ephraim,State Superintendent Of Public Instruction,,34,Non-Partisan,Tony Evers,16
Door,Village Of Forestville,State Superintendent Of Public Instruction,,24,Non-Partisan,Tony Evers,11
Door,Village Of Sister Bay,State Superintendent Of Public Instruction,,58,Non-Partisan,Tony Evers,32
Door,"City Of Sturgeon Bay Wards 1 - 6, 22 & 23",State Superintendent Of Public Instruction,,105,Non-Partisan,Tony Evers,57
Door,"City Of Sturgeon Bay Wards 7 - 10, 18 - 21, 24 - 27",State Superintendent Of Public Instruction,,52,Non-Partisan,Tony Evers,24
Door,City Of Sturgeon Bay Wards 11 - 17 & 28,State Superintendent Of Public Instruction,,54,Non-Partisan,Tony Evers,31
Douglas,Town Of Amnicon Wards 1 & 2,State Superintendent Of Public Instruction,,50,Non-Partisan,Tony Evers,18
Douglas,Town Of Bennett,State Superintendent Of Public Instruction,,25,Non-Partisan,Tony Evers,6
Douglas,Town Of Brule,State Superintendent Of Public Instruction,,79,Non-Partisan,Tony Evers,21
Douglas,Town Of Cloverland,State Superintendent Of Public Instruction,,20,Non-Partisan,Tony Evers,4
Douglas,Town Of Dairyland,State Superintendent Of Public Instruction,,11,Non-Partisan,Tony Evers,5
Douglas,Town Of Gordon,State Superintendent Of Public Instruction,,32,Non-Partisan,Tony Evers,10
Douglas,Town Of Hawthorne Wards 1 & 2,State Superintendent Of Public Instruction,,22,Non-Partisan,Tony Evers,4
Douglas,Town Of Highland,State Superintendent Of Public Instruction,,21,Non-Partisan,Tony Evers,3
Douglas,Town Of Lakeside,State Superintendent Of Public Instruction,,39,Non-Partisan,Tony Evers,8
Douglas,Town Of Maple Wards 1 & 2,State Superintendent Of Public Instruction,,56,Non-Partisan,Tony Evers,10
Douglas,Town Of Oakland Wards 1 & 2,State Superintendent Of Public Instruction,,26,Non-Partisan,Tony Evers,6
Douglas,Town Of Parkland Wards 1 & 2,State Superintendent Of Public Instruction,,15,Non-Partisan,Tony Evers,5
Douglas,Town Of Solon Springs,State Superintendent Of Public Instruction,,19,Non-Partisan,Tony Evers,16
Douglas,Town Of Summit Wards 1 & 2,State Superintendent Of Public Instruction,,21,Non-Partisan,Tony Evers,7
Douglas,Town Of Superior Wards 1 - 3,State Superintendent Of Public Instruction,,30,Non-Partisan,Tony Evers,5
Douglas,Town Of Wascott,State Superintendent Of Public Instruction,,165,Non-Partisan,Tony Evers,43
Douglas,Village Of Lake Nebagamon Wards 1 & 2,State Superintendent Of Public Instruction,,68,Non-Partisan,Tony Evers,29
Douglas,Village Of Oliver,State Superintendent Of Public Instruction,,11,Non-Partisan,Tony Evers,5
Douglas,Village Of Poplar,State Superintendent Of Public Instruction,,42,Non-Partisan,Tony Evers,11
Douglas,Village Of Solon Springs,State Superintendent Of Public Instruction,,13,Non-Partisan,Tony Evers,5
Douglas,Village Of Superior,State Superintendent Of Public Instruction,,9,Non-Partisan,Tony Evers,6
Douglas,City Of Superior Wards 1 - 5,State Superintendent Of Public Instruction,,66,Non-Partisan,Tony Evers,17
Douglas,City Of Superior Wards 6 - 8,State Superintendent Of Public Instruction,,53,Non-Partisan,Tony Evers,19
Douglas,City Of Superior Wards 9 - 12,State Superintendent Of Public Instruction,,54,Non-Partisan,Tony Evers,17
Douglas,City Of Superior Wards 13 - 19,State Superintendent Of Public Instruction,,64,Non-Partisan,Tony Evers,20
Douglas,City Of Superior Wards 20 - 24,State Superintendent Of Public Instruction,,51,Non-Partisan,Tony Evers,19
Douglas,City Of Superior Wards 25 - 27,State Superintendent Of Public Instruction,,47,Non-Partisan,Tony Evers,11
Douglas,City Of Superior Wards 28 - 31,State Superintendent Of Public Instruction,,42,Non-Partisan,Tony Evers,17
Douglas,City Of Superior Wards 32 - 37,State Superintendent Of Public Instruction,,150,Non-Partisan,Tony Evers,32
Douglas,City Of Superior Wards 38 - 43,State Superintendent Of Public Instruction,,69,Non-Partisan,Tony Evers,17
Douglas,City Of Superior Wards 44 - 47,State Superintendent Of Public Instruction,,59,Non-Partisan,Tony Evers,17
Dunn,Town Of Colfax Wards 1 - 3,State Superintendent Of Public Instruction,,19,Non-Partisan,Tony Evers,7
Dunn,Town Of Dunn Wards 1 - 3,State Superintendent Of Public Instruction,,26,Non-Partisan,Tony Evers,14
Dunn,Town Of Eau Galle,State Superintendent Of Public Instruction,,25,Non-Partisan,Tony Evers,6
Dunn,Town Of Elk Mound Wards 1 - 3,State Superintendent Of Public Instruction,,13,Non-Partisan,Tony Evers,3
Dunn,Town Of Grant,State Superintendent Of Public Instruction,,18,Non-Partisan,Tony Evers,3
Dunn,Town Of Hay River Wards 1 & 2,State Superintendent Of Public Instruction,,13,Non-Partisan,Tony Evers,11
Dunn,Town Of Lucas,State Superintendent Of Public Instruction,,27,Non-Partisan,Tony Evers,8
Dunn,Town Of Menomonie Wards 1 - 4,State Superintendent Of Public Instruction,,50,Non-Partisan,Tony Evers,32
Dunn,Town Of New Haven,State Superintendent Of Public Instruction,,12,Non-Partisan,Tony Evers,7
Dunn,Town Of Otter Creek,State Superintendent Of Public Instruction,,10,Non-Partisan,Tony Evers,4
Dunn,Town Of Peru,State Superintendent Of Public Instruction,,13,Non-Partisan,Tony Evers,8
Dunn,Town Of Red Cedar Wards 1 - 3,State Superintendent Of Public Instruction,,33,Non-Partisan,Tony Evers,8
Dunn,Town Of Rock Creek,State Superintendent Of Public Instruction,,16,Non-Partisan,Tony Evers,3
Dunn,Town Of Sand Creek,State Superintendent Of Public Instruction,,39,Non-Partisan,Tony Evers,4
Dunn,Town Of Sheridan,State Superintendent Of Public Instruction,,10,Non-Partisan,Tony Evers,6
Dunn,Town Of Sherman,State Superintendent Of Public Instruction,,19,Non-Partisan,Tony Evers,7
Dunn,Town Of Spring Brook Wards 1 - 3,State Superintendent Of Public Instruction,,30,Non-Partisan,Tony Evers,7
Dunn,Town Of Stanton,State Superintendent Of Public Instruction,,11,Non-Partisan,Tony Evers,10
Dunn,Town Of Tainter Wards 1 - 3,State Superintendent Of Public Instruction,,30,Non-Partisan,Tony Evers,16
Dunn,Town Of Tiffany Wards 1 - 3,State Superintendent Of Public Instruction,,18,Non-Partisan,Tony Evers,7
Dunn,Town Of Weston Wards 1 & 2,State Superintendent Of Public Instruction,,10,Non-Partisan,Tony Evers,5
Dunn,Town Of Wilson,State Superintendent Of Public Instruction,,20,Non-Partisan,Tony Evers,3
Dunn,Village Of Boyceville,State Superintendent Of Public Instruction,,27,Non-Partisan,Tony Evers,12
Dunn,Village Of Colfax Wards 1 & 2,State Superintendent Of Public Instruction,,39,Non-Partisan,Tony Evers,10
Dunn,Village Of Downing,State Superintendent Of Public Instruction,,8,Non-Partisan,Tony Evers,1
Dunn,Village Of Elk Mound,State Superintendent Of Public Instruction,,19,Non-Partisan,Tony Evers,4
Dunn,Village Of Knapp,State Superintendent Of Public Instruction,,15,Non-Partisan,Tony Evers,1
Dunn,Village Of Ridgeland,State Superintendent Of Public Instruction,,3,Non-Partisan,Tony Evers,1
Dunn,Village Of Wheeler,State Superintendent Of Public Instruction,,5,Non-Partisan,Tony Evers,1
Dunn,City Of Menomonie Wards 1 & 2,State Superintendent Of Public Instruction,,95,Non-Partisan,Tony Evers,35
Dunn,City Of Menomonie Wards 3 & 4,State Superintendent Of Public Instruction,,12,Non-Partisan,Tony Evers,5
Dunn,City Of Menomonie Wards 5 & 7,State Superintendent Of Public Instruction,,5,Non-Partisan,Tony Evers,4
Dunn,City Of Menomonie Ward 6,State Superintendent Of Public Instruction,,32,Non-Partisan,Tony Evers,16
Dunn,City Of Menomonie Wards 8 & 9,State Superintendent Of Public Instruction,,36,Non-Partisan,Tony Evers,13
Dunn,City Of Menomonie Wards 10 & 11,State Superintendent Of Public Instruction,,81,Non-Partisan,Tony Evers,33
Eau Claire,Town Of Bridge Creek Wards 1 & 2,State Superintendent Of Public Instruction,,64,Non-Partisan,Tony Evers,17
Eau Claire,Town Of Brunswick Wards 1 & 2,State Superintendent Of Public Instruction,,48,Non-Partisan,Tony Evers,9
Eau Claire,Town Of Clear Creek Wards 1 & 2,State Superintendent Of Public Instruction,,16,Non-Partisan,Tony Evers,4
Eau Claire,Town Of Drammen,State Superintendent Of Public Instruction,,24,Non-Partisan,Tony Evers,4
Eau Claire,Town Of Fairchild,State Superintendent Of Public Instruction,,12,Non-Partisan,Tony Evers,5
Eau Claire,Town Of Lincoln Wards 1 & 2,State Superintendent Of Public Instruction,,18,Non-Partisan,Tony Evers,4
Eau Claire,Town Of Ludington,State Superintendent Of Public Instruction,,17,Non-Partisan,Tony Evers,3
Eau Claire,Town Of Otter Creek,State Superintendent Of Public Instruction,,12,Non-Partisan,Tony Evers,3
Eau Claire,Town Of Pleasant Valley Wards 1 - 4,State Superintendent Of Public Instruction,,54,Non-Partisan,Tony Evers,13
Eau Claire,Town Of Seymour Wards 1 - 4,State Superintendent Of Public Instruction,,47,Non-Partisan,Tony Evers,11
Eau Claire,Town Of Union Wards 1 - 3,State Superintendent Of Public Instruction,,66,Non-Partisan,Tony Evers,17
Eau Claire,Town Of Washington Wards 1 - 13,State Superintendent Of Public Instruction,,250,Non-Partisan,Tony Evers,85
Eau Claire,Town Of Wilson,State Superintendent Of Public Instruction,,20,Non-Partisan,Tony Evers,10
Eau Claire,Village Of Fairchild,State Superintendent Of Public Instruction,,22,Non-Partisan,Tony Evers,5
Eau Claire,Village Of Fall Creek Wards 1 & 2,State Superintendent Of Public Instruction,,57,Non-Partisan,Tony Evers,16
Eau Claire,City Of Altoona Wards 1 - 13,State Superintendent Of Public Instruction,,215,Non-Partisan,Tony Evers,70
Eau Claire,City Of Augusta Wards 1 - 5,State Superintendent Of Public Instruction,,70,Non-Partisan,Tony Evers,16
Eau Claire,City Of Eau Claire Ward 1,State Superintendent Of Public Instruction,,35,Non-Partisan,Tony Evers,8
Eau Claire,City Of Eau Claire Ward 2,State Superintendent Of Public Instruction,,34,Non-Partisan,Tony Evers,12
Eau Claire,City Of Eau Claire Ward 3,State Superintendent Of Public Instruction,,126,Non-Partisan,Tony Evers,66
Eau Claire,City Of Eau Claire Ward 4,State Superintendent Of Public Instruction,,46,Non-Partisan,Tony Evers,10
Eau Claire,City Of Eau Claire Ward 5,State Superintendent Of Public Instruction,,10,Non-Partisan,Tony Evers,5
Eau Claire,City Of Eau Claire Ward 6,State Superintendent Of Public Instruction,,13,Non-Partisan,Tony Evers,3
Eau Claire,City Of Eau Claire Ward 7,State Superintendent Of Public Instruction,,21,Non-Partisan,Tony Evers,9
Eau Claire,City Of Eau Claire Ward 8,State Superintendent Of Public Instruction,,119,Non-Partisan,Tony Evers,28
Eau Claire,City Of Eau Claire Ward 9,State Superintendent Of Public Instruction,,4,Non-Partisan,Tony Evers,2
Eau Claire,City Of Eau Claire Ward 10,State Superintendent Of Public Instruction,,18,Non-Partisan,Tony Evers,5
Eau Claire,City Of Eau Claire Ward 11,State Superintendent Of Public Instruction,,97,Non-Partisan,Tony Evers,26
Eau Claire,City Of Eau Claire Ward 12,State Superintendent Of Public Instruction,,76,Non-Partisan,Tony Evers,18
Eau Claire,City Of Eau Claire Ward 13,State Superintendent Of Public Instruction,,52,Non-Partisan,Tony Evers,12
Eau Claire,City Of Eau Claire Ward 14,State Superintendent Of Public Instruction,,31,Non-Partisan,Tony Evers,9
Eau Claire,City Of Eau Claire Ward 15,State Superintendent Of Public Instruction,,100,Non-Partisan,Tony Evers,25
Eau Claire,City Of Eau Claire Ward 17,State Superintendent Of Public Instruction,,112,Non-Partisan,Tony Evers,32
Eau Claire,City Of Eau Claire Ward 18,State Superintendent Of Public Instruction,,110,Non-Partisan,Tony Evers,30
Eau Claire,City Of Eau Claire Ward 19,State Superintendent Of Public Instruction,,10,Non-Partisan,Tony Evers,4
Eau Claire,City Of Eau Claire Ward 20,State Superintendent Of Public Instruction,,46,Non-Partisan,Tony Evers,20
Eau Claire,City Of Eau Claire Ward 21,State Superintendent Of Public Instruction,,18,Non-Partisan,Tony Evers,4
Eau Claire,City Of Eau Claire Ward 22,State Superintendent Of Public Instruction,,16,Non-Partisan,Tony Evers,2
Eau Claire,City Of Eau Claire Ward 23,State Superintendent Of Public Instruction,,91,Non-Partisan,Tony Evers,19
Eau Claire,City Of Eau Claire Ward 24,State Superintendent Of Public Instruction,,0,Non-Partisan,Tony Evers,0
Eau Claire,City Of Eau Claire Ward 25,State Superintendent Of Public Instruction,,116,Non-Partisan,Tony Evers,31
Eau Claire,City Of Eau Claire Ward 26,State Superintendent Of Public Instruction,,57,Non-Partisan,Tony Evers,19
Eau Claire,City Of Eau Claire Ward 27,State Superintendent Of Public Instruction,,39,Non-Partisan,Tony Evers,12
Eau Claire,City Of Eau Claire Ward 28,State Superintendent Of Public Instruction,,59,Non-Partisan,Tony Evers,19
Eau Claire,City Of Eau Claire Ward 29,State Superintendent Of Public Instruction,,40,Non-Partisan,Tony Evers,12
Eau Claire,City Of Eau Claire Ward 30,State Superintendent Of Public Instruction,,62,Non-Partisan,Tony Evers,18
Eau Claire,City Of Eau Claire Ward 31,State Superintendent Of Public Instruction,,70,Non-Partisan,Tony Evers,31
Eau Claire,City Of Eau Claire Ward 32,State Superintendent Of Public Instruction,,10,Non-Partisan,Tony Evers,6
