ELECTION,ELECTION,ELECTION,OFFICE TYPE,OFFICE,US CONGRESS,STATE SENATE,STATE ASSEMBLY,COURT OF APPEALS,COUNTY,COUNTY,MUNICIPALITY,MUNICIPALITY,MUNICIPALITY,HINDI,ORDER,REPORTING UNIT,Jay N. Conley,Vance M. Waggoner,Edward Burke,Scattering ,,
ELECTION,ELECTION,ELECTION,OFFICE TYPE,OFFICE,US CONGRESS,STATE SENATE,STATE ASSEMBLY,COURT OF APPEALS,COUNTY,COUNTY,MUNICIPALITY,MUNICIPALITY,MUNICIPALITY,HINDI,ORDER,REPORTING UNIT,David W. Keck,John Jorgensen,Caroline A. Carver,Edmund J. Jelinski,Mark Richard Fremgen,Scattering 
DATE,TYPE,SUBTYPE,KEYWORD,NAME,DISTRICT,DISTRICT,DISTRICT,DISTRICT,NUMBER,NAME,TYPE,NUMBER,NAME,NUMBER,NUMBER,NAME,Non-Partisan,Non-Partisan,Non-Partisan,Non-Partisan,Non-Partisan,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,Town,2,Algoma,71002,3,Wards 1 - 10 & 12,66,305,101,97,159,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,Town,4,Black Wolf,71004,1,Wards 1 - 3,37,64,24,24,35,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,56,2,71,Winnebago,Town,6,Clayton,71006,2,Wards 1 - 4,3,65,26,100,31,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,Town,8,Menasha,71008,12,"Wards 1, 5 & 6",7,52,12,50,15,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,Town,8,Menasha,71008,13,Wards 2 - 4,8,56,10,63,9,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,Town,8,Menasha,71008,14,"Wards 7, 8, 10 & 13",6,25,10,49,10,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,Town,8,Menasha,71008,15,"Wards 9, 11 & 12",5,16,11,17,2,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,56,2,71,Winnebago,Town,10,Neenah,71010,1,Wards 1 - 5,10,42,17,73,11,0
